node,thULA,thURA,thULB,thURB,dthULA,dthURA,dthULB,dthURB,tLeftA,tRightA,tLeftB,tRightB
1,0.6718637584652515,2.362109877747866,0.9867327834063696,2.2021351933943496,3.6342009555660604,6.0125030039041585,-2.2403858345448606,-1.648372007541111,-1.4104074866393427e-07,-2.405533751497277e-07,8.602723866809407e-08,6.310699864222962e-08
2,0.6800831015019255,2.3737274288119607,0.9786360242319714,2.1970999603759584,4.109674953653837,5.80878038766283,-4.048382971281381,-2.517618613697291,5.702404404900498,-2.079628229129159,6.189488743584039,-8.268726806795542
3,0.6890713639253618,2.384969088377301,0.9715048031326604,2.191095131953815,4.49413603623779,5.620835816718284,-3.565614377393731,-3.0024174342102015,5.713782755358858,-2.2643662994486045,6.498316739693104,-6.567603972297495
4,0.6988983378702324,2.395745752807969,0.96398192506637,2.1855164752050054,4.913499214286601,5.388345640252555,-3.7614484046928913,-2.7893353239585434,5.746163204084809,-2.4293260652357684,5.829315777979809,-5.8543195218777635
5,0.7095358061257082,2.406060984781033,0.9565150480007861,2.17990359490756,5.31874717736753,5.157628640854468,-3.733447692864386,-2.8064470343846573,5.739306087401658,-2.5587895355722825,5.843168527736551,-5.836059058664286
6,0.7209809756638151,2.415893253260598,0.9491028002894482,2.1742578197965607,5.722598600679001,4.916146122197814,-3.7061328134598326,-2.8228943784869065,5.732537751851017,-2.689900989118653,5.85846960716749,-5.818919655960673
7,0.733231043177274,2.425220483850174,0.9417454143847205,2.168578903683371,6.125048319251248,4.663626382726746,-3.6787016986089154,-2.8394648075243376,5.725839488146225,-2.822470220541096,5.8747747838457025,-5.802475436040653
8,0.7462833761851498,2.434019971417936,0.9344427386618489,2.1628670448128418,6.526181744611834,4.39975405868192,-3.651346388470673,-2.8559361047677116,5.719315741843251,-2.9564794546358386,5.89205677567388,-5.786727086030173
9,0.7601355715968301,2.4422684230101477,0.9271946274404136,2.1571224766767534,6.926113570665517,4.124235243001336,-3.624063911930262,-2.872290647259126,5.7130825881277145,-3.091910596715315,5.910286281640708,-5.771674486626468
10,0.7747855456529408,2.4499419776000195,0.9200009305927344,2.151345466770177,7.325003462345557,3.8367859031029843,-3.596856493703892,-2.888511433918034,5.70726891632535,-3.2287463961187965,5.929433856155804,-5.75731862481625
11,0.7902316338899736,2.45701622449406,0.9128614825857164,2.1455363152215483,7.723061067435131,3.537131209557598,-3.5697318375910734,-2.904582148668549,5.702017097920932,-3.3669706401587614,5.949469455357473,-5.743661126624698
12,0.8064727018610442,2.4634662201259014,0.9057760908833529,2.1396953533709944,8.12055139461332,3.2250047297810274,-3.5427034461340914,-2.9204871863037636,5.697483825616556,-3.5065685023406465,5.970362329073376,-5.730704141711111
13,0.823508267446087,2.469266502988483,0.8987445236150402,2.1338229423847404,8.517800608144697,2.900147497168431,-3.5157909876987734,-2.9362116344355456,5.693841041968288,-3.6475268809543153,5.992080890353408,-5.718450205100498
14,0.8413386357079644,2.4743911064938073,0.8917664963834718,2.1279194720115076,8.915202300802928,2.562306974839817,-3.4890207266752924,-2.9517412024909278,5.691276972738558,-3.7898347146730953,6.014592557168097,-5.706902073804499
15,0.8599650474011487,2.4788135696124067,0.8848416580478322,2.121985359605775,9.313224320115966,2.211235945462648,-3.462426035818208,-2.9670620882707177,5.689997283741196,-3.9334832572486773,6.037863560147393,-5.6960625359345505
16,0.8793898424227685,2.4825069452415534,0.8779695752724875,2.1160210495624914,9.712416239506856,1.8466913755948973,-3.436048013490249,-2.982160772217502,5.690226384455701,-4.078466287357389,6.061858709399363,-5.6859341897272815
17,0.8996166397192465,2.4854438063947906,0.8711497155769212,2.110027013328179,10.113417586043656,1.4684333263224565,-3.4099362330338465,-2.9970237292106656,5.69220890722605,-4.224780221529892,6.086541112450035,-5.676519189669707
18,0.9206505354345509,2.4875962505129423,0.8643814285577116,2.1040037501743236,10.516966961200925,1.0762240139833825,-3.3841496567447735,-3.0116370474169774,5.69621139773078,-4.3724240871304945,6.111871834139231,-5.667818956622776
19,0.942498321419471,2.4889359024921407,0.8576639248757983,2.09795178894043,10.923912221328168,0.6698271686655011,-3.358757753225861,-3.025985943452792,5.702524261048953,-4.521399297568734,6.137809487835808,-5.659833848497325
